,index,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,City_Name,Rating,Reviews,Location,AC_Availability,Wifi_Availability
31,541,SPOT ON 63862 Delhi Yatri Nivaas ,"Near Kr Market Metro, Vaisakhi Buildings, Bangalore",1014.0,1931.0,47.0, TV  Private Entrance  Reception  + 18 more,Bangalore,4.5,Excellent, Vaisakhi Buildings,No,No
32,513,OYO 3974 Hotel Bcp Royal Residency,"Near Race Course, 6th A Cross, Bangalore",1350.0,2808.0,51.0, Parking Facility  Free Wifi  Power backup  + 15 more,Bangalore,4.5,Excellent, 6th A Cross,No,Yes
33,56,OYO 81097 SilverKey Halcyon Magnus,"Sanath Nagar, Hyderabad",1014.0,1999.0,49.0, AC  TV  Queen Sized Bed  + 2 more,Hyderabad,4.5,Excellent,Sanath Nagar,Yes,No
34,498,OYO 78918 Leva Homes,"Mahadevapura Zone, Bangalore",1285.0,2448.0,47.0, Elevator  Private Entrance  Free Wifi  + 7 more,Bangalore,4.5,Excellent,Mahadevapura Zone,No,Yes
35,327,OYO 18680 Olivia Comforts,"Near Eat Street, Kormangala, Bangalore",1330.0,2532.0,47.0, Reception  Free Wifi  Power backup  + 18 more,Bangalore,4.5,Excellent, Kormangala,No,Yes
36,406,OYO 18431 Hotel Celestee Grand,"Nampally, Hyderabad",1145.0,2617.0,56.0, Elevator  Free Wifi  Geyser  + 6 more,Hyderabad,4.5,Excellent,Nampally,No,Yes
37,336,SPOT ON 46264 M K Grande,"Near 140 Cottonpet Main road, Majestic, Bangalore",989.0,1884.0,47.0, AC  TV  Parking Facility  + 6 more,Bangalore,4.5,Excellent, Majestic,Yes,No
38,503,OYO 378 Aira Apartments,"HAL Airport Road, Kodihalli Extension, Bangalore",1579.0,3007.0,47.0, Elevator  Parking Facility  Free Wifi  + 4 more,Bangalore,4.5,Excellent, Kodihalli Extension,No,Yes
39,291,OYO 76333 Shannu Residency,"4th floor,  7-2-606, Retreat Point, Adj Yes Bank, Citylight X Roads,  RP Road - Secunderabad, TS - 500015",1418.0,2701.0,47.0, Reception  Free Wifi  Caretaker  + 14 more,Hyderabad,4.4,Very Good,  RP Road - Secunderabad,No,Yes
40,471,OYO 68409 Dera Guest House,"Near LB Stadium, Fateh Maidan, Abids, Hyderabad",1414.0,2692.0,47.0, Parking Facility  Reception  Free Wifi  + 11 more,Hyderabad,4.4,Very Good, Abids,No,Yes
41,415,OYO 67479 Alpine Glow Zenith,"Near Malani Colony, Bowenpally, Hyderabad",1014.0,2121.0,52.0, Reception  Free Wifi  Power backup  + 12 more,Hyderabad,4.4,Very Good, Bowenpally,No,Yes
42,572,OYO Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",1554.0,2959.0,47.0, Free Wifi  AC  TV  + 4 more,Bangalore,4.4,Very Good, Tilak Nagar,Yes,Yes
43,151,SPOT ON 67398 Hotel  Shree Pawan Paradise,"Near Cotton Pete Police Station, Bangalore",697.0,1650.0,57.0, TV  Parking Facility  Reception  + 11 more,Bangalore,4.4,Very Good,Near Cotton Pete Police Station,No,No
44,166,OYO Home 79961 Comfortable Stays,"Hyderabad, Hyderabad",1353.0,2577.0,47.0, Free Wifi  AC  TV  + 1 more,Hyderabad,4.4,Very Good,Hyderabad,Yes,Yes
45,562,OYO 30750 M R Residency,"Near Railway station, Secunderabad, Hyderabad",1146.0,2981.0,61.0, Private Entrance  Reception  Power backup  + 32 more,Hyderabad,4.4,Very Good, Secunderabad,No,No
46,171,OYO Townhouse RCC Elite 265 Begumpet,"Opp to Js babu silks., Hyderabad",1396.0,2994.0,53.0, Reception  Caretaker  Power backup  + 23 more,Hyderabad,4.4,Very Good,Opp to Js babu silks.,No,No
47,173,OYO 69510 Hotel 3m,"Near Nampally Metro Station, Hyderabad",917.0,3046.0,69.0, Private Entrance  Reception  Free Wifi  + 15 more,Hyderabad,4.4,Very Good,Near Nampally Metro Station,No,Yes
48,351,Collection O 80456 Vanasthalipuram,"LB Nagar, Hyderabad",1432.0,2728.0,47.0, Elevator  Free Wifi  CCTV Cameras  + 5 more,Hyderabad,4.4,Very Good,LB Nagar,No,Yes
49,200,OYO 62331 GN Collection O,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",1460.0,3081.0,52.0, Reception  Free Wifi  Power backup  + 15 more,Bangalore,4.4,Very Good, Housing Board,No,Yes
50,289,OYO 71922 AB7 Residency,"India, Hyderabad",1300.0,2475.0,47.0, Elevator  Reception  Free Wifi  + 8 more,Hyderabad,4.4,Very Good,India,No,Yes
51,556,OYO 79040 Hotel Sai Prakash,"Hyderabad, Hyderabad",1091.0,2564.0,57.0, Ticket Tour Assistance  Reception  Security  + 11 more,Hyderabad,4.4,Very Good,Hyderabad,No,No
52,219,OYO Flagship 16105 Majestic,"Near Majestic Railway Station, Akkipete, Bangalore",1014.0,2364.0,57.0, Reception  Free Wifi  Power backup  + 9 more,Bangalore,4.4,Very Good, Akkipete,No,Yes
