,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
407,SPOT ON 47525 Deccan Lodge,"Near hyderabad central pvr, Punjagutta, Hyderabad",₹748,₹2194,65% off, Power backup  AC  Card Payment  + 3 more,,Hyderabad
408,OYO 9796 Hotel Alekhya Residency,"Near Global Hospital, Saifabad, Hyderabad",₹1216,₹2323,47% off, Free Wifi  CCTV Cameras  Power backup  + 5 more,4.1 (573 Ratings)·Very Good,Hyderabad
409,OYO 16018 Rainbow Saphire,"Near Niloufer Hospital, Lakdikapul, Hyderabad",₹1873,₹3567,47% off, Free Wifi  Card Payment  TV  + 12 more,4.5 (554 Ratings)·Excellent,Hyderabad
410,OYO 3169 Hotel Lotus Grand,"Regimental Bazaar, Shivaji Nagar, Hyderabad",₹1369,₹2889,52% off, Parking Facility  Free Wifi  Power backup  + 14 more,,Hyderabad
411,OYO 72073 Imperial Guest House,"Near Yashoda Hospital, Somajiguda, Hyderabad",₹1542,₹2937,47% off, Parking Facility  Reception  Free Wifi  + 12 more,,Hyderabad
412,CAPITAL O 30955 Alpine Glow Pinnacle,"Near Veg Market, Bowenpally, Hyderabad",₹1252,₹2609,52% off, Reception  Power backup  Refrigerator  + 38 more,4.2 (2087 Ratings)·Very Good,Hyderabad
413,SPOT ON 81308 Gokul Residency,"Near Ganesh temple, opp. Rathifile bus stand, Secunderabad - 500025",₹1216,₹2315,47% off, Elevator  Reception  Ticket Tour Assistance  + 5 more,,Hyderabad
414,OYO 2635 Hotel Balaji Residency,"Near TVS Showroom, Himayatnagar, Hyderabad",₹1602,₹3051,47% off, Parking Facility  Elevator  Free Wifi  + 9 more,4.1 (65 Ratings)·Very Good,Hyderabad
415,OYO 67479 Alpine Glow Zenith,"Near Malani Colony, Bowenpally, Hyderabad",₹1014,₹2121,52% off, Reception  Free Wifi  Power backup  + 12 more,4.4 (1564 Ratings)·Very Good,Hyderabad
416,OYO Townhouse 359 Begumpet,"Vinn Hospital, Begumpet, Hyderabad",₹1719,₹3274,47% off, Parking Facility  Reception  Free Wifi  + 15 more,4.6 (3866 Ratings)·Excellent,Hyderabad
417,OYO 14224 Happy Guest house,"Near Star Super Market, Banjara Hills, Hyderabad",₹1708,₹3254,47% off, Free Wifi  AC  AC  + 3 more,4.3 (914 Ratings)·Very Good,Hyderabad
418,OYO 22681 R Inn,"Near Neloufar Hospital, Lakdikapul, Hyderabad",₹1391,₹2865,51% off, Reception  Free Wifi  Power backup  + 12 more,,Hyderabad
419,OYO 73741 Hotel Sai Pratap Residency,"Near Lakdikapool Metro Station, Hyderabad",₹1495,₹2847,47% off, Parking Facility  Reception  Free Wifi  + 14 more,,Hyderabad
420,Capital O 22120 Hotel Universal Garden,"Near RBK International Academy, Chedda Nagar, Mumbai",₹2395,₹4561,47% off, AC  AC  TV  + 1 more,3.8 (299 Ratings)·Good,Mumbai
421,OYO 66785 Hotel Oyster Suites,"Andheri West, Mumbai",₹1453,₹4048,64% off, Doctor on Call  Reception  Ticket Tour Assistance  + 11 more,4.7 (29 Ratings)·Excellent,Mumbai
422,OYO 69852 De Classico Hotel,"Near HSBC Bank (Juhu Tara Road), Juhu Tara, Mumbai",₹2428,₹4624,47% off, Private Entrance  Reception  24/7 Checkin  + 39 more,3.8 (128 Ratings)·Good,Mumbai
423,OYO 77255 Hotel Royal Plaza,"Jogeshwari West, Mumbai",₹1882,₹3584,47% off, Doctor on Call  Reception  Ticket Tour Assistance  + 6 more,,Mumbai
424,Capital O 33476 Lavender Bough,"Near Swaminarayan Temple, Garodia Nagar, Mumbai",₹2356,₹4487,47% off, Private Entrance  Parking Facility  Reception  + 21 more,3.9 (129 Ratings)·Good,Mumbai
425,OYO 75467 Hotel 97,"Near Jankidevi public school, SV Patel Nagar, Mumbai",₹1566,₹2982,47% off, Reception  TV  AC  + 23 more,3.8 (42 Ratings)·Good,Mumbai
426,OYO 12257 Hotel Sai Suites,"Near Chitra Cinema (Dadar), Dadar East, Mumbai",₹2159,₹4934,56% off, Free Wifi  CCTV Cameras  Power backup  + 3 more,,Mumbai
427,OYO 75826 Right Choice Hotel,"Near Andheri station, Fish Market Area, Mumbai",₹1919,₹4387,56% off, Hair Dryer  Reception  Free Wifi  + 10 more,,Mumbai
428,Capital O 81412 Hotel Amber Grand,"India, Mumbai",₹1622,₹3089,47% off, Reception  Security  Luggage Assistance  + 23 more,,Mumbai
429,OYO 8685 Hotel Stayland,"Near Near Khar Socials, Mumbai",₹2490,₹4742,47% off, Free Wifi  Geyser  CCTV Cameras  + 6 more,,Mumbai
430,Capital O 43946 New Urban Court,"Near DN Nagar Metro Station, Andheri West, Mumbai",₹2163,₹4119,47% off, Reception  Free Wifi  Card Payment  + 11 more,5.0 (2 Ratings)·Fabulous,Mumbai
431,OYO 72346 Hotel Lal Sai Residency,"Near Oshiwara Police Station, Andheri West, Mumbai",₹1473,₹2805,47% off, Reception  Free Wifi  CCTV Cameras  + 4 more,,Mumbai
432,OYO 22055 Dadar Residency,"Near Chitra Cinema, Dadar, Mumbai",₹2284,₹4351,47% off, Private Entrance  Reception  Free Wifi  + 16 more,3.5 (472 Ratings)·Good,Mumbai
433,Collection O 81566 Bh Residency,"Zone 3, Mumbai",₹1906,₹3631,47% off, Reception  Coffee/Tea Maker  Caretaker  + 5 more,,Mumbai
434,OYO 8373 Rigga Inn,"Near Jankidevi School, andheri west, Mumbai",₹1801,₹3431,47% off, Free Wifi  Geyser  Power backup  + 7 more,4.3 (175 Ratings)·Very Good,Mumbai
435,Collection O 81221 Marhaba Residency,"Maharashtra , Mumbai",₹2000,₹3809,47% off, Free Wifi  Caretaker  AC  + 3 more,4.2 (14 Ratings)·Very Good,Mumbai
436,OYO 10056 Hotel Elite,"Near Amboli Phatak, Andheri West, Mumbai",₹2394,₹4559,47% off, Free Wifi  Geyser  CCTV Cameras  + 2 more,3.6 (186 Ratings)·Good,Mumbai
437,Capital O 70342 Imperial Residency ,"Near Tolani College of commerce, Indira Nagar, Mumbai",₹2586,₹4925,47% off, Parking Facility  Reception  AC  + 9 more,3.5 (104 Ratings)·Good,Mumbai
438,Capital O 44162 Royal Palms Hotel - Rose Collection,"Near Aarey Colony, Goregaon, Mumbai",₹3085,₹5875,47% off, Parking Facility  Reception  Free Wifi  + 20 more,3.9 (1863 Ratings)·Good,Mumbai
439,OYO 16077 Panchvati Residency,"Near DN Nagar Metro Station, Andheri west, Mumbai",₹2382,₹4537,47% off, Parking Facility  Elevator  Electric Kettle  + 8 more,3.9 (144 Ratings)·Good,Mumbai
440,Capital O 15403 Krishna Vaibhava,"Near Water Tank BTM, BTM 2nd stage, Bangalore",₹1749,₹3331,47% off, Parking Facility  Free Wifi  Power backup  + 19 more,4.0 (136 Ratings)·Very Good,Bangalore
