,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
140,Capital O 28398 Mysore Gate,"Near Nalanda Theater, Mysore Road, Bangalore",₹1463,₹3063,52% off, Reception  Security  24/7 Checkin  + 13 more,4.1 (423 Ratings)·Very Good,Bangalore
141,OYO 8252 Aayush Corporate Stays,"Near Maharaja Signal, Kormangala, Bangalore",₹1372,₹3061,55% off, Hair Dryer  Free Wifi  Power backup  + 13 more,4.2 (715 Ratings)·Very Good,Bangalore
142,OYO 72492 A K Residency,"Centrally Located, Near S T Bed, Koramangala 1st Block, Bangalore",₹1216,₹2555,52% off, Reception  Free Wifi  AC  + 7 more,,Bangalore
143,OYO 79381 Dm Residency,"Rajarajeshwari Nagar Zone, Bangalore",₹1433,₹3266,56% off, Hair Dryer  Reception  Caretaker  + 10 more,,Bangalore
144,OYO 3242 Hotel Status Executive Room's,"Near Old Airport Road, Bangalore",₹1600,₹3048,47% off, Parking Facility  Free Wifi  Power backup  + 12 more,3.9 (84 Ratings)·Good,Bangalore
145,OYO 10321 Koramangala,"Near Sri Balaji medicals, Zuzuvadi, Bangalore",₹1360,₹2589,47% off, Living Room  Washing Machine  Balcony  + 37 more,,Bangalore
146,OYO 69693 The Royal Park ,"Near OYE Amritsar, New Tippasandra, Banglore",₹1907,₹3632,47% off, AC  TV ,3.5 (302 Ratings)·Good,Bangalore
147,Capital O 11148 Amethyst Business Hotel,"5th Block, Jayanagar, Bangalore",₹1487,₹3054,51% off, Doctor on Call  Reception  Power backup  + 22 more,,Bangalore
148,SPOT ON 80454 Janapriya Lodge,"India, Bangalore",₹1216,₹2315,47% off, Parking Facility  Doctor on Call  Reception  + 7 more,3.8 (16 Ratings)·Good,Bangalore
149,OYO 18338 White Fort,"Dispensary Rd, Kalasipalya,Bangalore",₹985,₹1966,49% off, Parking Facility  Free Wifi  Power backup  + 14 more,4.2 (787 Ratings)·Very Good,Bangalore
150,OYO BLR2467 Urban Inn,"India, Bangalore",₹1234,₹2570,51% off, Hair Dryer  Reception  Free Wifi  + 11 more,4.8 (628 Ratings)·Excellent,Bangalore
151,SPOT ON 67398 Hotel  Shree Pawan Paradise,"Near Cotton Pete Police Station, Bangalore",₹697,₹1650,57% off, TV  Parking Facility  Reception  + 11 more,4.4 (297 Ratings)·Very Good,Bangalore
152,Collection O 74531 Hotel Move Inn,"Near Iblur Bus Stop, Bellandu, Bangalore",₹1216,₹2658,54% off, Reception  Free Wifi  24/7 Checkin  + 12 more,,Bangalore
153,Capital O 422 SURAKSHA INN,"Indiranagar, Bangalore",₹1936,₹3687,47% off, Free Wifi  Power backup  Card Payment  + 19 more,3.9 (24 Ratings)·Good,Bangalore
154,OYO 12033 Hotel Royal Residence,"Near Narayana Hospital, HSR Layout, Bangalore",₹2263,₹4311,47% off, Elevator  Electric Kettle  Free Wifi  + 9 more,4.1 (233 Ratings)·Very Good,Bangalore
155,OYO 852 Kings 10,"Centrally Located, Near, HMT Layout Bus Stop, R.T.Nagar, Bangalore",₹1764,₹3626,51% off, AC  TV  Mini Fridge  + 2 more,3.8 (565 Ratings)·Good,Bangalore
156,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore",₹790,₹1686,53% off, TV  Geyser  CCTV Cameras  + 3 more,,Bangalore
157,Capital O 79690 Hotel Metro View Inn,"India, Bangalore",₹1750,₹3380,48% off, Reception  Ticket Tour Assistance  Caretaker  + 27 more,3.6 (8 Ratings)·Good,Bangalore
158,SPOT ON 62943 Fna Hospitality,"Near Popular Colony, Tilak Nagar, Bangalore",₹1262,₹2404,47% off, Parking Facility  Reception  Free Wifi  + 9 more,,Bangalore
159,OYO Townhouse 078 Dodda Banaswadi,"Near Udupi Upachar, Lakshmamma Layout, Bangalore",₹1361,₹2592,47% off, Reception  Free Wifi  Power backup  + 16 more,4.3 (2246 Ratings)·Very Good,Bangalore
160,OYO 10139 Hotel Palak Residency,"Centrally Located, Near Mosapet Flyover, Erragadda, Hyderabad",₹1347,₹2992,54% off, Elevator  Free Wifi  Geyser  + 9 more,4.2 (1685 Ratings)·Very Good,Hyderabad
161,OYO 10272 Hotel Ruma,"Near City Convention Centre, Nampally, Hyderabad",₹1194,₹2729,56% off, Elevator  Free Wifi  Geyser  + 7 more,4.1 (2258 Ratings)·Very Good,Hyderabad
162,SPOT ON 81775 Gokul Lodge Deluxe Since 1974,"India, Hyderabad",₹843,₹1605,47% off, Parking Facility  Reception  Free Wifi  + 8 more,,Hyderabad
163,SPOT ON 74178 K k Residency,"Near Railway station, Secunderabad, Hyderabad",₹919,₹1749,47% off, TV  Parking Facility  AC  + 12 more,,Hyderabad
164,OYO 11316 Athithi Inn,"Near Maithrivanam Complex, Ameerpet, Hyderabad",₹1708,₹3254,47% off, Parking Facility  Free Wifi  Power backup  + 15 more,4.2 (891 Ratings)·Very Good,Hyderabad
165,Capital O 44585 Sri Suprabhat Grand,"Nera Venkataramana Theater, Hyderabad",₹1594,₹3556,55% off, Parking Facility  Reception  Free Wifi  + 15 more,3.9 (280 Ratings)·Good,Hyderabad
166,OYO Home 79961 Comfortable Stays,"Hyderabad, Hyderabad",₹1353,₹2577,47% off, Free Wifi  AC  TV  + 1 more,4.4 (126 Ratings)·Very Good,Hyderabad
167,OYO 49253 Raja Residency,"Near Raja Deluxe Complex, Musheerabad, Hyderabad",₹1216,₹2315,47% off, Private Entrance  Parking Facility  Reception  + 20 more,4.1 (3029 Ratings)·Very Good,Hyderabad
168,OYO 63371 R Square Stay,"Near LB Nagar Metro Station, LB Nagar, Hyderabad",₹1276,₹2486,48% off, Reception  Daily Housekeeping  AC  + 4 more,3.7 (467 Ratings)·Good,Hyderabad
169,SPOT ON 80478 Hotel Baba Classic ,"#7-2-971 & 977 Opp Hanuman Kaman sajjanial street Monda Market Hyderabad., Hyderabad",₹850,₹1618,47% off, TV  Reception  Public Washroom  + 10 more,,Hyderabad
170,OYO 30744 The  Gate,"Near Life Style, Begumpet, Hyderabad",₹1363,₹3563,61% off, Reception  Power backup  Security  + 11 more,4.8 (2384 Ratings)·Excellent,Hyderabad
171,OYO Townhouse RCC Elite 265 Begumpet,"Opp to Js babu silks., Hyderabad",₹1396,₹2994,53% off, Reception  Caretaker  Power backup  + 23 more,4.4 (2155 Ratings)·Very Good,Hyderabad
172,OYO 70927 Hotel Hyderabad Continental,"Near Tarakarama Theatre, Sultan Bazar, Hyderabad",₹845,₹2169,61% off, TV  King Sized Bed  Dress Hanger  + 1 more,4.1 (565 Ratings)·Very Good,Hyderabad
173,OYO 69510 Hotel 3m,"Near Nampally Metro Station, Hyderabad",₹917,₹3046,69% off, Private Entrance  Reception  Free Wifi  + 15 more,4.4 (217 Ratings)·Very Good,Hyderabad
174,OYO 77239 Hotel Rajdhani,"India, Hyderabad",₹1336,₹2584,48% off, Doctor on Call  Reception  Caretaker  + 13 more,,Hyderabad
175,CAPITAL O 11079 Hotel Prestige,"Centrally Located, Near Sun Shine Hospital, Paradise Road, Hyderabad",₹1642,₹3276,49% off, Parking Facility  Elevator  Free Wifi  + 9 more,4.1 (1802 Ratings)·Very Good,Hyderabad
176,OYO 4520 Hotel Central Park,"Hyderguda, Hyderabad",₹1303,₹2965,56% off, Parking Facility  Elevator  Free Wifi  + 8 more,3.9 (568 Ratings)·Good,Hyderabad
177,Capital O 72734 Hotel Sri Sai Inn,"Chappal Bazaar, Ward 80 Kachiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Himayatnagar Mandal Hyderabad TelanganaIndia500027",₹1364,₹2598,47% off, AC  TV  Mini Fridge  + 2 more,,Hyderabad
178,OYO 71244 Hotel Saba Service Apartments,"Near Yousuf Baba Dargah, Nampally mandal, Hyderabad",₹1216,₹2315,47% off, Reception  Free Wifi  TV  + 10 more,4.0 (272 Ratings)·Very Good,Hyderabad
179,SPOT ON 49298 Hotel Midland Lodge,"Centrally Located, Near Nampally Railway Station, Hyderabad",₹888,₹1876,52% off, TV  Reception  AC  + 37 more,3.5 (769 Ratings)·Good,Hyderabad
180,OYO Flagship 18502 Sahar International,"Near Andheri Metro Station,Andheri East, Mumbai",₹3127,₹5955,47% off, Reception  Free Wifi  Refrigerator  + 16 more,4.0 (372 Ratings)·Very Good,Mumbai
181,OYO Flagship 76261 Lake Bloom,"Near Solaris complex, Saki Vihar, Mumbai",₹1417,₹2698,47% off, AC  AC  TV  + 1 more,4.1 (216 Ratings)·Very Good,Mumbai
182,OYO 8193 Hotel Pearl View,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai",₹1014,₹2017,49% off, Free Wifi  CCTV Cameras  AC  + 6 more,3.6 (524 Ratings)·Good,Mumbai
183,OYO 49759 Hotel Qubic ,"On main street, Near Dhanlaxmi Building, Asalpha, Mumbai",₹1017,₹2325,56% off, Reception  Free Wifi  CCTV Cameras  + 8 more,4.2 (687 Ratings)·Very Good,Mumbai
184,OYO 15717 RK Residency,"Near Ram Krishna Mandir Road, Andheri East, Mumbai",₹1613,₹3624,55% off, Free Wifi  Card Payment  Microwave  + 15 more,3.7 (770 Ratings)·Good,Mumbai
185,OYO 41996 Hotel Majesty Palace,"Near Near Andheri station, Fish Market Area, Mumbai",₹1216,₹2384,48% off, Hair Dryer  Reception  Card Payment  + 11 more,,Mumbai
186,OYO 46995 Hotel Grand Plaza,"Near Farooq school, Andheri, Mumbai",₹2130,₹4057,47% off, Private Entrance  Elevator  Reception  + 9 more,3.8 (280 Ratings)·Good,Mumbai
187,OYO 24416 The United Hotel,"Near Kamani Oil Industries, Andheri East, Mumbai",₹1364,₹2803,51% off, Private Entrance  Reception  Free Wifi  + 11 more,3.9 (612 Ratings)·Good,Mumbai
188,OYO Flagship 77012 Hotel Moss View,"4 bungalow Andheri west, Mumbai",₹1463,₹3430,57% off, Reception  Ticket Tour Assistance  Free Wifi  + 11 more,,Mumbai
189,OYO 7046 Hotel Guest Inn,"Near Maharashtra Weight Bridge, LBS Marg, Mumbai",₹902,₹2512,64% off, Free Wifi  Geyser  CCTV Cameras  + 5 more,3.5 (299 Ratings)·Good,Mumbai
190,OYO 75402 Hotel Rk Grace,"Near Rane Hospital, Akash Kiran Society, Mumbai",₹2353,₹4481,47% off, Reception  Free Wifi  CCTV Cameras  + 6 more,3.9 (139 Ratings)·Good,Mumbai
191,OYO 76149 Hotel Grand Inn,"Near Seven hills hospital, Marol, Mumbai",₹1509,₹2874,47% off, Reception  Free Wifi  Geyser  + 8 more,3.7 (634 Ratings)·Good,Mumbai
192,OYO 1784 Hotel Ascot Inn,"Near Noor Bakery, Sakinaka, Mumbai",₹1027,₹4836,78% off, Free Wifi  Card Payment  Microwave  + 14 more,,Mumbai
193,OYO 64671 Royal Aqua,"On main street, Near Yamaha Showroom, Andheri East, Mumbai",₹1456,₹2774,47% off, Free Wifi  Geyser  CCTV Cameras  + 5 more,,Mumbai
194,Capital O 80202 Hotel Saineel,"India, Mumbai",₹1450,₹2998,51% off, Reception  CCTV Cameras  Daily Housekeeping  + 8 more,5.0 (3 Ratings)·Fabulous,Mumbai
195,OYO 75974 Sunrise residency,"Near Santacurz railway station, Vakola, Mumbai",₹1129,₹3483,67% off, Reception  Free Wifi  CCTV Cameras  + 3 more,,Mumbai
196,OYO 77861 Elite Continental,"India, Mumbai",₹1813,₹4198,56% off, Parking Facility  Free Wifi  Power backup  + 10 more,3.7 (489 Ratings)·Good,Mumbai
197,OYO 77551 Tanvi Guest House,"India, Mumbai",₹1351,₹2572,47% off, Doctor on Call  Reception  Public Washroom  + 11 more,3.5 (34 Ratings)·Good,Mumbai
198,OYO 77803 Hotel Jd Residency,"Andher (West, Mumbai",₹2230,₹4247,47% off, Reception  CCTV Cameras  Daily Housekeeping  + 9 more,,Mumbai
199,OYO 23259 Hotel Galaxy Inn,"Near Takshila Police Station, Andheri East, Mumbai",₹1817,₹3772,51% off, Free Wifi  Card Payment  24/7 Checkin  + 12 more,3.9 (258 Ratings)·Good,Mumbai
200,OYO 62331 GN Collection O,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",₹1460,₹3081,52% off, Reception  Free Wifi  Power backup  + 15 more,4.4 (2016 Ratings)·Very Good,Bangalore
201,Collection O 77217 Amazing Inn,"Bhuvanappa Layout, Bangalore",₹1640,₹3124,47% off, Parking Facility  Reception  Free Wifi  + 11 more,4.1 (362 Ratings)·Very Good,Bangalore
202,Collection O 199 Tin factory,"Near Tin Factory Bus Stop, 1St Cross Rd, Bangalore",₹1451,₹2764,47% off, Free Wifi  AC  TV ,3.7 (2486 Ratings)·Good,Bangalore
203,CAPITAL O 23461 Champion Lotus,"Near IIFT, Vijayanagar, Bangalore",₹1226,₹2433,49% off, Reception  Power backup  Security  + 22 more,4.7 (1363 Ratings)·Excellent,Bangalore
204,OYO 10291 Sri Venkatadri Residency,"Near Maha Bazaar, Mks Square, Bangalore",₹1054,₹2408,56% off, Elevator  Free Wifi  Geyser  + 8 more,4.1 (97 Ratings)·Very Good,Bangalore
205,OYO 18544 Amm Residency,"Mavalli, Bengaluru",₹1180,₹2697,56% off, Parking Facility  Free Wifi  Twin Single Bed  + 10 more,4.3 (741 Ratings)·Very Good,Bangalore
206,SPOT ON 47801 S.G Comforts,"Near State Bank Of India, M S K Nagar, Bangalore",₹1014,₹2061,50% off, Twin Single Bed  Reception  Power backup  + 23 more,4.7 (49 Ratings)·Excellent,Bangalore
207,Capital O 13184 Savi International,"Near Mantri Square Mall, Sheshadripuram, Bangalore",₹1626,₹3343,51% off, Reception  Security  AC  + 11 more,4.5 (595 Ratings)·Excellent,Bangalore
208,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",₹1014,₹2156,52% off, Private Entrance  Reception  Free Wifi  + 14 more,4.5 (752 Ratings)·Excellent,Bangalore
209,OYO 22471 Middle East Residency,"Near H Gurumurthy Reddy Colony, Bangalore",₹1654,₹3313,50% off, Reception  Free Wifi  Power backup  + 15 more,4.7 (7 Ratings)·Excellent,Bangalore
210,SPOT ON 76312 Sri Balaji Comforts,"Bangalore Urban, Bangalore",₹733,₹1670,56% off, TV  AC  Reception  + 10 more,4.1 (832 Ratings)·Very Good,Bangalore
211,Capital O 78988 Smile Hotel ,", Bangalore",₹1710,₹3459,50% off, Reception  Public Washroom  Caretaker  + 14 more,3.7 (55 Ratings)·Good,Bangalore
212,SPOT ON 65593 Yatra Inn,"Near Majestic Railway station, Lalbagh, Bangalore",₹709,₹1580,55% off, Reception  CCTV Cameras  Power backup  + 2 more,4.1 (1530 Ratings)·Very Good,Bangalore
213,OYO 15695 Varcity Comforts,"Near 1st Stage, BTM Layout, Bangalore",₹1348,₹2567,47% off, Elevator  Free Wifi  Geyser  + 7 more,4.0 (572 Ratings)·Very Good,Bangalore
214,SPOT ON 78132 Parvathi Palace Lodging,"India, Bangalore",₹1702,₹3242,47% off, Doctor on Call  Reception  CCTV Cameras  + 7 more,,Bangalore
215,OYO 5590 Ujwal Residency,"Near Indian Oil Petrol Bunk, Divanarapalya, Bangalore",₹1216,₹3302,63% off, Free Wifi  Power backup  CCTV Cameras  + 7 more,3.9 (205 Ratings)·Good,Bangalore
216,Palette - Hotel Casa de,"Near Koramangala Club, Koramangala, Bangalore",₹2413,₹4597,47% off, Power backup  Microwave  Wheelchair Accessible  + 23 more,3.7 (2 Ratings)·Good,Bangalore
217,OYO 78921 VSV Avenue Hennur,"Kacharkanahalli, Bangalore",₹1223,₹2329,47% off, Private Entrance  Free Wifi  Power backup  + 5 more,4.1 (291 Ratings)·Very Good,Bangalore
218,Capital O 11927 Varcity Imperium,"Near Sulthangunta, Shivaji Nagar, Bangalore ",₹1621,₹3192,49% off, Free Wifi  Power backup  Card Payment  + 11 more,3.8 (380 Ratings)·Good,Bangalore
219,OYO Flagship 16105 Majestic,"Near Majestic Railway Station, Akkipete, Bangalore",₹1014,₹2364,57% off, Reception  Free Wifi  Power backup  + 9 more,4.4 (898 Ratings)·Very Good,Bangalore
220,SPOT ON 45433 Sree Radha Lodge,"Near Guru dwara, Shivaji Nagar, Hyderabad",₹1014,₹1931,47% off, AC  Reception  Power backup  + 6 more,3.8 (154 Ratings)·Good,Hyderabad
221,Capital O 14244 Loya Legend,"Near ISKCON Temple, Abids,Hyderabad",₹2267,₹4318,47% off, Free Wifi  Power backup  TV  + 11 more,4.2 (445 Ratings)·Very Good,Hyderabad
222,OYO 79447 Ragas Homes ,"LB Nagar, Near Metro Station, Beside Zoom Lab, Hyderabad",₹1014,₹2484,59% off, Reception  Ticket Tour Assistance  Security  + 10 more,4.4 (165 Ratings)·Very Good,Hyderabad
223,OYO 26650 R Square,"Near L B nagar D- Mart, Hyderabad",₹1317,₹2884,54% off, Reception  Free Wifi  Power backup  + 14 more,3.5 (710 Ratings)·Good,Hyderabad
224,OYO 2840 Kanha Grand,"Near Nilofer Hospital, lakdikapul, Hyderabad",₹1339,₹2730,50% off, Elevator  Free Wifi  Power backup  + 8 more,4.2 (766 Ratings)·Very Good,Hyderabad
225,SPOT ON 75648 Hotel Hill Fort Inn,"P , Hyderabad",₹935,₹1781,47% off, TV  Elevator  Reception  + 6 more,,Hyderabad
226,OYO 68404 Sa Thirumala Residency,"Near VRK Silks, Himayatnagar, Hyderabad",₹1315,₹2699,51% off, Hair Dryer  Reception  Security  + 20 more,4.2 (833 Ratings)·Very Good,Hyderabad
227,OYO 42129 Hotel Swiss Legrand,"Near Nanking Cinese Restaurent, Ramnagar, Hyderabad",₹1014,₹2508,59% off, Reception  Free Wifi  Power backup  + 13 more,,Hyderabad
228,OYO 78391 Svr Lodge,"Hyderabad, Hyderabad",₹1014,₹2107,51% off, Hair Dryer  Reception  Public Washroom  + 20 more,,Hyderabad
229,SPOT ON 80705 Balaji Residency,"India, Hyderabad",₹856,₹1629,47% off, Reception  AC  Daily Housekeeping  + 3 more,,Hyderabad
230,OYO 29928 Royal Emirates Banjara,"Near NIMS Hospital, Punjagutta, Hyderabad",₹1299,₹2539,48% off, Parking Facility  Reception  Free Wifi  + 13 more,4.0 (596 Ratings)·Very Good,Hyderabad
231,OYO 4376 Imax Inn,"Near Shravana Hospital, Malakunta Road, Hyderabad",₹1360,₹2589,47% off, Parking Facility  Free Wifi  Power backup  + 11 more,3.6 (108 Ratings)·Good,Hyderabad
232,Capital O 24450 Hotel Surabhi,"Near Vishnu Theatre, Vijayawada Highway,Hyderabad",₹1723,₹3281,47% off, Parking Facility  Reception  Free Wifi  + 20 more,4.1 (401 Ratings)·Very Good,Hyderabad
233,OYO 47785 Hotel Pariwar Inn,"Ghansi Bazaar, Hyderabad",₹1237,₹2355,47% off, Parking Facility  Reception  Power backup  + 18 more,,Hyderabad
234,OYO Flagship 76915 Kachiguda Station Rd,"Hyderabad., Hyderabad",₹1351,₹2574,47% off, Doctor on Call  Parking Facility  Reception  + 21 more,4.0 (1372 Ratings)·Very Good,Hyderabad
235,OYO 37499 Saba Service Apartments,"Near Mecca Masjid, Old City, Hyderabad",₹1282,₹2530,49% off, Reception  Free Wifi  Refrigerator  + 15 more,4.3 (284 Ratings)·Very Good,Hyderabad
236,OYO 1108 Hotel Saraswathi Residency,"Near Nalanda School, S.R. Nagar, Hyderabad",₹1081,₹2653,59% off, Elevator  Free Wifi  Geyser  + 7 more,3.6 (59 Ratings)·Good,Hyderabad
237,Capital O 29894 Royal Emirates,"Near Apollo Hospital, Jubilee Hill, Hyderabad",₹1519,₹2892,47% off, Parking Facility  Reception  Free Wifi  + 18 more,3.8 (457 Ratings)·Good,Hyderabad
238,OYO 15140 Hotel Priya Residency,"Near Raniganj, MG Road, Hyderabad",₹1216,₹2594,53% off, AC  AC  TV  + 1 more,4.0 (964 Ratings)·Very Good,Hyderabad
239,OYO 62615 Hotel White House,"Near nampally metro, Devi Bagh, Hyderabad",₹1343,₹2874,53% off, Hair Dryer  Parking Facility  Reception  + 19 more,3.7 (22 Ratings)·Good,Hyderabad
240,OYO 8705 Hotel Garden Park,"Near LBS Marg, Kurla(W), Mumbai",₹1726,₹3288,47% off, Free Wifi  Geyser  AC  + 7 more,,Mumbai
241,OYO 74855 Hotel Nirmal Inn,"Near Chakala Sigarette Factory, Chakala, Mumbai",₹1338,₹2651,49% off, Reception  Refrigerator  Card Payment  + 16 more,3.5 (955 Ratings)·Good,Mumbai
242,OYO 4083 Hotel Alfa Grand,"Near Asalpha Metro Station, Andheri East, Mumbai",₹1536,₹3753,59% off, Free Wifi  Geyser  AC  + 7 more,,Mumbai
243,Capital O 80175 Hotel Twigo Inn,"Andheri (West), Mumbai",₹1692,₹3222,47% off, Reception  TV  Caretaker  + 15 more,,Mumbai
244,SPOT ON 78316 Hotel Grand Skylight,"Sakinaka Metro station, Mumbai",₹1350,₹2571,47% off, AC  Reception  TV  + 8 more,,Mumbai
245,Capital O 79601 Wynd Hotel And Banquet,"Shah Ind. Estate, Saki Vihar Rd, behind Finch Restaurant, Andheri East",₹1564,₹3010,48% off, Doctor on Call  Reception  Ticket Tour Assistance  + 21 more,4.1 (88 Ratings)·Very Good,Mumbai
246,OYO 80163 Hotel Relax Residency,"Near sakinaka metro station, opp noori masjid, andheri East",₹1116,₹2794,60% off, Hair Dryer  Reception  Ticket Tour Assistance  + 13 more,3.8 (157 Ratings)·Good,Mumbai
247,OYO 61623 Hotel Homestay,"Near Time Square, Mittal Industrial Estate, Mumbai",₹1385,₹2638,47% off, Hair Dryer  Reception  Free Wifi  + 13 more,3.8 (253 Ratings)·Good,Mumbai
248,OYO 41605 Hotel Prince Palace,"Near Kurla Police Station, Mumbai",₹1479,₹2986,50% off, Private Entrance  Free Wifi  Refrigerator  + 10 more,3.9 (88 Ratings)·Good,Mumbai
249,OYO 42009 Hotel A One Suite,"Near METRO STATION, Asalpha, Mumbai",₹1311,₹2856,54% off, Reception  Free Wifi  24/7 Checkin  + 17 more,4.4 (521 Ratings)·Very Good,Mumbai
250,OYO 48005 Hotel Airways Inn Residency,"On main street, Near Mittal Industrial Estate, Andheri East, Mumbai",₹1357,₹3102,56% off, Free Wifi  Power backup  Card Payment  + 12 more,,Mumbai
251,OYO 76488 Hotel Impex Residency,", Mumbai",₹1432,₹2728,47% off, Reception  Ticket Tour Assistance  Free Wifi  + 12 more,,Mumbai
252,Capital O 68823 Baba's Residency,"Near Jaipan Insdustries, Goregaon, Mumbai",₹1915,₹3647,47% off, Reception  Free Wifi  CCTV Cameras  + 7 more,3.8 (521 Ratings)·Good,Mumbai
253,OYO 8181 Druv's Taj Palace,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",₹1763,₹4029,56% off, Free Wifi  CCTV Cameras  AC  + 8 more,4.1 (1303 Ratings)·Very Good,Mumbai
254,OYO 42939 Royal Orbit,"Near L&T, Saki Vihar, Mumbai",₹1368,₹2960,53% off, Parking Facility  Free Wifi  Card Payment  + 10 more,3.7 (580 Ratings)·Good,Mumbai
255,OYO 13660 Cliff Hanger,"Andheri East, Mumbai",₹1157,₹4198,72% off, Parking Facility  Electric Kettle  Free Wifi  + 8 more,,Mumbai
256,OYO 8678 Hotel Golden Nest,"Near Bajsons Industries, Andheri East, Mumbai",₹1216,₹2956,58% off, Free Wifi  Geyser  CCTV Cameras  + 6 more,3.5 (393 Ratings)·Good,Mumbai
257,OYO 44090 Hotel Classic Residency,"Near Solitaire Corporate Park, Andheri East, Mumbai",₹1505,₹2867,47% off, Private Entrance  Reception  Free Wifi  + 14 more,,Mumbai
258,OYO 79455 Flagship Hotel Plaza,"Beside City Plaza, Mumbai",₹1955,₹3724,47% off, Parking Facility  Private Entrance  Reception  + 15 more,,Mumbai
259,Collection O 75556 Hotel Address Inn,"Near bus top, Safed Pul, Mumbai",₹1507,₹2871,47% off, Free Wifi  AC  TV ,3.9 (469 Ratings)·Good,Mumbai
260,OYO 60746 Kings Suites,"Near Banaswadi Police Station, Hrbr Layout, Bangalore",₹1355,₹2827,52% off, AC  AC  TV  + 2 more,3.8 (286 Ratings)·Good,Bangalore
261,OYO 71425 Sai Luxuria ,"Near Maruthi Nagara, Bangalore",₹1270,₹2902,56% off, Reception  Free Wifi  Power backup  + 8 more,,Bangalore
262,OYO 12761 High Street,"Near Kalyan silks commercial street, Bangalore",₹1264,₹3433,63% off, Free Wifi  Power backup  Card Payment  + 13 more,4.4 (575 Ratings)·Very Good,Bangalore
263,Capital O 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",₹1298,₹2908,55% off, Parking Facility  Reception  Free Wifi  + 14 more,4.8 (812 Ratings)·Excellent,Bangalore
264,Collection O Olive Stay,"Kamanahalli, Bangalore",₹1225,₹2332,47% off, Reception  Free Wifi  Power backup  + 12 more,,Bangalore
265,OYO 3453 Bhagini Residency,"Near Lumbini Garden, Nagavara, Banglore",₹1563,₹2977,47% off, Parking Facility  Free Wifi  Power backup  + 19 more,,Bangalore
266,SPOT ON 75507 Park Wood Inn,"Near Brand factory, Someshwara Nagar, Bangalore",₹700,₹1388,49% off, AC  TV  AC  + 1 more,,Bangalore
267,OYO 74701 Hotel Apple Suites.,"West Zone, Bangalore",₹1769,₹3369,47% off, Window  Window  Window ,3.9 (11 Ratings)·Good,Bangalore
268,OYO 13670 Skylark Service Apartment,"Near Big Boys Cars, HRBR Layout, Bangalore",₹1882,₹3584,47% off, AC  TV  Queen Sized Bed ,,Bangalore
269,OYO 7897 Status Suites,"Near Dell Office, Inner Ring Road, Bangalore",₹1498,₹2852,47% off, Power backup  Electric Kettle  AC  + 23 more,3.8 (550 Ratings)·Good,Bangalore
270,Capital O 2235 Oh My Rooms Indranagar,"Near DAD Quarters,Ulsoor, Bangalore",₹2128,₹4054,47% off, Elevator  Free Wifi  Geyser  + 7 more,3.8 (154 Ratings)·Good,Bangalore
271,OYO 11097 Hotel Grand Arabian,"Dr.Ambedkar Nagar, Yeshwanthpur, Bangalore",₹1459,₹3283,55% off, Free Wifi  Geyser  Power backup  + 6 more,4.2 (37 Ratings)·Very Good,Bangalore
272,OYO 79873 Elegant Stay HSR Layout,"Bommanahalli Zone, Bangalore",₹1261,₹2401,47% off, Elevator  Parking Facility  Free Wifi  + 5 more,3.7 (111 Ratings)·Good,Bangalore
273,OYO 79869 Grand Comfort,"Bangalore Urban, Bangalore",₹1381,₹2629,47% off, Free Wifi  TV  AC ,4.7 (13 Ratings)·Excellent,Bangalore
274,OYO 2318 Hotel Tiara,"Lexington Towers, 63 St.Johns Woods Apts & Oracle, Tavarekere Main Rd",₹1014,₹2039,50% off, Parking Facility  Reception  Free Wifi  + 17 more,4.6 (93 Ratings)·Excellent,Bangalore
275,Capital O 80212 Rams 4 Seasons Boutique Hotel,", Bangalore",₹1280,₹2482,48% off, Reception  Caretaker  Bedside Table / Desk  + 22 more,,Bangalore
276,OYO Home 41195 Shiva Shakthi Inn,"Near J P Nagar, 5th Phase, Bangalore",₹1222,₹2375,48% off, Free Wifi  CCTV Cameras  Power backup  + 5 more,4.0 (2022 Ratings)·Very Good,Bangalore
277,Capital O 68975 The Blueberry's,"Near Forum Mall, 4th Cross Rd, Bangalore",₹1263,₹3043,58% off, Reception  Free Wifi  Daily Housekeeping  + 9 more,4.4 (612 Ratings)·Very Good,Bangalore
278,OYO 68738 Hotel Skv Residency,"Near Apollo Phaacy, Mathikere Main Road, Bangalore",₹1251,₹2965,57% off, Parking Facility  Reception  Free Wifi  + 17 more,4.2 (78 Ratings)·Very Good,Bangalore
279,Collection O Shri Rama Gokula,"Bangalore - 560008., Bangalore",₹1011,₹2309,56% off, Elevator  Free Wifi  CCTV Cameras  + 8 more,3.5 (14 Ratings)·Good,Bangalore
280,SPOT ON 24885 Royal Plaza,"Near Bazar Ghat, Nampally, Hyderabad",₹896,₹1737,48% off, AC  Private Entrance  Parking Facility  + 11 more,,Hyderabad
